year,date,round,home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_elo,away_elo,home_form,away_form,home_comp_form,away_comp_form,result
1998,1998-06-10,Group stage,Brazil,Scotland,2,1,,,2071.0,1810.0,-1.3565,-1.2784,-1.4076,1.9132,1
1998,1998-06-10,Group stage,Morocco,Norway,2,2,,,1573.0,1817.0,2.9729,3.8929,6.3586,0.9287,0
1998,1998-06-11,Group stage,Italy,Chile,2,2,,,1991.0,1724.0,0.6394,2.4376,-0.5215,-1.8061,0
1998,1998-06-11,Group stage,Cameroon,Austria,1,1,,,1663.0,1690.0,-0.71,2.7845,0.8591,5.9034,0
1998,1998-06-12,Group stage,Paraguay,Bulgaria,0,0,,,1843.0,1817.0,-2.4732,1.1009,-6.6146,1.9217,0
1998,1998-06-12,Group stage,Saudi Arabia,Denmark,0,1,,,1666.0,1968.0,0.1904,-1.2359,-0.4168,-0.8179,-1
1998,1998-06-12,Group stage,France,South Africa,3,0,,,2038.0,1728.0,-0.8111,-3.7112,0.4855,-4.9924,1
1998,1998-06-13,Group stage,Spain,Nigeria,2,3,,,1988.0,1622.0,3.003,-0.5398,3.6962,-0.5884,-1
1998,1998-06-13,Group stage,South Korea,Mexico,1,3,,,1672.0,1814.0,0.7827,3.3404,1.9353,1.4416,-1
1998,1998-06-13,Group stage,Netherlands,Belgium,0,0,,,1926.0,1767.0,0.0505,1.5443,-0.6989,2.0772,0
1998,1998-06-14,Group stage,Argentina,Japan,1,0,,,1807.0,1707.0,2.6353,1.8313,2.5024,3.1211,1
1998,1998-06-14,Group stage,Serbia,Iran,1,0,,,1953.0,1536.0,-0.3337,-0.9018,2.2278,0.4063,1
1998,1998-06-14,Group stage,Jamaica,Croatia,1,3,,,1558.0,1874.0,-0.8446,0.3763,7.1507,0.256,-1
1998,1998-06-15,Group stage,England,Tunisia,2,0,,,1872.0,1621.0,-0.0562,0.2858,2.0686,0.3119,1
1998,1998-06-15,Group stage,Romania,Colombia,1,0,,,1865.0,1839.0,1.8991,-0.0474,3.9918,-3.457,1
1998,1998-06-15,Group stage,Germany,United States,2,0,,,2084.0,1743.0,-0.4399,2.7951,-1.5716,5.8121,1
1998,1998-06-16,Group stage,Scotland,Norway,1,1,,,1810.0,1817.0,-1.2784,3.8929,1.9132,0.9287,0
1998,1998-06-16,Group stage,Brazil,Morocco,3,0,,,2071.0,1573.0,-1.3565,2.9729,-1.4076,6.3586,1
1998,1998-06-17,Group stage,Chile,Austria,1,1,,,1724.0,1690.0,2.4376,2.7845,-1.8061,5.9034,0
1998,1998-06-17,Group stage,Italy,Cameroon,3,0,,,1991.0,1663.0,0.6394,-0.71,-0.5215,0.8591,1
1998,1998-06-18,Group stage,South Africa,Denmark,1,1,,,1728.0,1968.0,-3.7112,-1.2359,-4.9924,-0.8179,0
1998,1998-06-18,Group stage,France,Saudi Arabia,4,0,,,2038.0,1666.0,-0.8111,0.1904,0.4855,-0.4168,1
1998,1998-06-19,Group stage,Nigeria,Bulgaria,1,0,,,1622.0,1817.0,-0.5398,1.1009,-0.5884,1.9217,1
1998,1998-06-19,Group stage,Spain,Paraguay,0,0,,,1988.0,1843.0,3.003,-2.4732,3.6962,-6.6146,0
1998,1998-06-20,Group stage,Japan,Croatia,0,1,,,1707.0,1874.0,1.8313,0.3763,3.1211,0.256,-1
1998,1998-06-20,Group stage,Belgium,Mexico,2,2,,,1767.0,1814.0,1.5443,3.3404,2.0772,1.4416,0
1998,1998-06-20,Group stage,Netherlands,South Korea,5,0,,,1926.0,1672.0,0.0505,0.7827,-0.6989,1.9353,1
1998,1998-06-21,Group stage,Germany,Serbia,2,2,,,2084.0,1953.0,-0.4399,-0.3337,-1.5716,2.2278,0
1998,1998-06-21,Group stage,Argentina,Jamaica,5,0,,,1807.0,1558.0,2.6353,-0.8446,2.5024,7.1507,1
1998,1998-06-21,Group stage,United States,Iran,1,2,,,1743.0,1536.0,2.7951,-0.9018,5.8121,0.4063,-1
1998,1998-06-22,Group stage,Colombia,Tunisia,1,0,,,1839.0,1621.0,-0.0474,0.2858,-3.457,0.3119,1
1998,1998-06-22,Group stage,Romania,England,2,1,,,1865.0,1872.0,1.8991,-0.0562,3.9918,2.0686,1
1998,1998-06-23,Group stage,Italy,Austria,2,1,,,1991.0,1690.0,0.6394,2.7845,-0.5215,5.9034,1
1998,1998-06-23,Group stage,Chile,Cameroon,1,1,,,1724.0,1663.0,2.4376,-0.71,-1.8061,0.8591,0
1998,1998-06-23,Group stage,Brazil,Norway,1,2,,,2071.0,1817.0,-1.3565,3.8929,-1.4076,0.9287,-1
1998,1998-06-23,Group stage,Scotland,Morocco,0,3,,,1810.0,1573.0,-1.2784,2.9729,1.9132,6.3586,-1
1998,1998-06-24,Group stage,South Africa,Saudi Arabia,2,2,,,1728.0,1666.0,-3.7112,0.1904,-4.9924,-0.4168,0
1998,1998-06-24,Group stage,France,Denmark,2,1,,,2038.0,1968.0,-0.8111,-1.2359,0.4855,-0.8179,1
1998,1998-06-24,Group stage,Spain,Bulgaria,6,1,,,1988.0,1817.0,3.003,1.1009,3.6962,1.9217,1
1998,1998-06-24,Group stage,Nigeria,Paraguay,1,3,,,1622.0,1843.0,-0.5398,-2.4732,-0.5884,-6.6146,-1
1998,1998-06-25,Group stage,Netherlands,Mexico,2,2,,,1926.0,1814.0,0.0505,3.3404,-0.6989,1.4416,0
1998,1998-06-25,Group stage,Belgium,South Korea,1,1,,,1767.0,1672.0,1.5443,0.7827,2.0772,1.9353,0
1998,1998-06-25,Group stage,United States,Serbia,0,1,,,1743.0,1953.0,2.7951,-0.3337,5.8121,2.2278,-1
1998,1998-06-25,Group stage,Germany,Iran,2,0,,,2084.0,1536.0,-0.4399,-0.9018,-1.5716,0.4063,1
1998,1998-06-26,Group stage,Argentina,Croatia,1,0,,,1807.0,1874.0,2.6353,0.3763,2.5024,0.256,1
1998,1998-06-26,Group stage,Japan,Jamaica,1,2,,,1707.0,1558.0,1.8313,-0.8446,3.1211,7.1507,-1
1998,1998-06-26,Group stage,Romania,Tunisia,1,1,,,1865.0,1621.0,1.8991,0.2858,3.9918,0.3119,0
1998,1998-06-26,Group stage,Colombia,England,0,2,,,1839.0,1872.0,-0.0474,-0.0562,-3.457,2.0686,-1
1998,1998-06-27,Round of 16,Italy,Norway,1,0,,,1991.0,1817.0,0.6394,3.8929,-0.5215,0.9287,1
1998,1998-06-27,Round of 16,Brazil,Chile,4,1,,,2071.0,1724.0,-1.3565,2.4376,-1.4076,-1.8061,1
1998,1998-06-28,Round of 16,France,Paraguay,1,0,,,2038.0,1843.0,-0.8111,-2.4732,0.4855,-6.6146,1
1998,1998-06-28,Round of 16,Nigeria,Denmark,1,4,,,1622.0,1968.0,-0.5398,-1.2359,-0.5884,-0.8179,-1
1998,1998-06-29,Round of 16,Germany,Mexico,2,1,,,2084.0,1814.0,-0.4399,3.3404,-1.5716,1.4416,1
1998,1998-06-29,Round of 16,Netherlands,Serbia,2,1,,,1926.0,1953.0,0.0505,-0.3337,-0.6989,2.2278,1
